,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result,Date,away_team,home_team,month,year
55,4,2,1,20.5190695405228,17.9130458196019,1.36106753345107,1.38388598141163,7,75,0.264,11,12,1,19.4276436550958,20.7706748074896,-0.762422237799963,0.252664660667511,7,25,0,0,31,Sada Cruzeiro,America Volei,1,2014
56,11,12,0,18.9921149240767,20.7665398459917,-1.75797589372316,-1.00993779023997,1,22.2222222222222,0.3872,7,8,1,19.0611954776664,19.7259768309143,-0.808675556654218,-0.556871958670476,7,40,0,1,1,America Volei,Sao Bernardo,2,2014
57,8,8,0,18.43716608,19.5791940266667,-0.7408,-0.61513472,7,37.5,0,4,5,0,19.5841569558571,18.3886087335665,0.870052130741567,0.972048566298799,3,70,0,0,2,Maringa,Minas,2,2014
58,9,12,1,19.3178922248587,18.78553222151,-0.9918360920064,0.019332333476986,7,37.5,-0.2,12,10,1,18.000247419116,20.5881284302261,-1.6387271714629,-1.90254631511392,3,11.1111111111111,0,1,2,Funvic,JF Volei,2,2014
59,2,2,1,20.5652556324182,17.7804366556815,1.48885402676085,1.5071087851293,2,77.7777777777778,-0.6,5,6,0,19.0645284545378,19.0267187211484,-0.379792131465666,-0.192888950685696,7,60,0,0,2,Sada Cruzeiro,Canoas,2,2014
60,7,1,0,19.0726307885243,20.4587624671314,0.189971282891699,-0.208137815116073,7,40,-0.88,10,7,0,18.9575158498078,20.4236744760398,-1.17632800464221,-0.219320748612098,7,33.3333333333333,0,1,2,RJX,Volta Redonda,2,2014
61,1,3,1,20.694834012749,18.4963854007446,1.65574809047693,2.03094749526116,7,90,0,3,3,0,19.7844442453333,18.6982772087467,0.4641163264,1.56512,7,70,0,0,2,Sesi,Brasil Volei Clube,2,2014
62,12,12,0,18.3936919392613,20.1332318767933,-1.60638071497853,-1.00795023219198,4,20,0.101952,4,5,0,19.6673255646857,18.3908869868532,0.496041704593254,0.577638853039039,3,63.6363636363636,0,0,5,America Volei,Minas,2,2014
63,8,8,1,18.429732864,19.6633552213333,-0.39264,-0.292107776,3,44.4444444444444,0.6,2,2,1,20.2522045059346,17.5843493245452,1.40568702810344,1.56718099394705,3,80,0,1,5,Maringa,Sada Cruzeiro,2,2014
64,4,5,0,19.4005271184152,18.9793762561492,0.242940574204184,-0.203166636325397,2,58.3333333333333,0.5767985152,1,3,1,20.1958672101992,18.5171083205957,1.82475799620893,1.43454449691684,5,90.9090909090909,0,0,7,Minas,Sesi,2,2014
