Date,month,year,home_team,away_team,home_team_av_points,away_team_av_points,home_team_av_points_conceded,away_team_av_points_conceded,home_current_pos,away_current_pos,home_last_yr_pos,away_last_yr_pos,home_prev_game_perf,away_prev_game_perf,home_team_form,away_team_form,home_team_home_form,away_team_away_form,home_team_rest_time,away_team_rest_time,h2h_form,match_importance,home_win_percentage,away_win_percentage,result
29,1,2011,Belchatow,Bydgoszcz,23.78773646,21.91209787,19.8144587,23.56077284,1,6,1,6,1,0,1.935773407,-0.930682484,2.015951872,-0.801986048,3,3,0.88,0,94.44444444,44.44444444,1
29,1,2011,Kielce,Wielun,21.44355565,20.87062068,23.15205819,22.22880074,8,9,8,8,0,1,-1.122075909,-0.539616505,-0.450351616,-0.960459776,3,3,-0.92,0,27.77777778,22.22222222,0
29,1,2011,Jastrzebski,Olsztyn,21.81636852,21.35070154,23.11886242,23.58165084,7,10,3,7,0,0,-1.044074131,-1.608945831,-1.469625344,-1.950998016,3,3,0.52,0,33.33333333,22.22222222,1
30,1,2011,Kedzierzyn-Kozle,AZS Czestochowa,23.28931232,20.24586646,20.42395168,22.61591,3,4,2,5,1,1,1.341419276,-0.25595182,0.477707776,0.237685248,4,4,0.44,0,61.11111111,61.11111111,0
4,2,2011,Bydgoszcz,AZS Czestochowa,21.59634496,20.94669317,23.84861827,22.342728,6,3,6,5,0,1,-1.344545987,0.195238544,-0.346461184,0.590148198,6,5,-0.44,0,42.10526316,63.15789474,0
5,2,2011,Belchatow,Rzeszow,24.03018917,24.19278875,19.91823363,20.55976316,1,2,1,4,1,1,2.148618726,1.820933657,2.212761498,0.667528192,7,7,0.08,0,94.73684211,78.94736842,1
5,2,2011,Jastrzebski,Kielce,21.73309482,21.35484452,22.37508993,22.92164656,7,8,3,8,1,0,-0.635259305,-1.097660727,-0.975700275,-1.282546176,7,7,0.08,0,36.84210526,26.31578947,0
6,2,2011,Verva Warszawa,Kedzierzyn-Kozle,21.78888858,22.88144986,22.65312139,21.08916134,5,4,10,2,0,0,-0.212004058,0.673135421,1.223842304,1.252947456,7,7,0.08,0,52.63157895,57.89473684,0
7,2,2011,Olsztyn,Wielun,20.96056123,21.09649654,23.14532067,21.98304059,10,9,7,8,0,1,-1.487156665,-0.231693204,-0.844773888,-0.568367821,7,7,0.52,0,21.05263158,26.31578947,0
11,2,2011,AZS Czestochowa,Verva Warszawa,21.35735454,21.91111087,22.4741824,22.28249712,3,5,5,10,1,0,0.356190835,-0.369603247,0.115020288,-1.027581747,7,5,0.72,0,65,50,1
