,Date,month,year,home_team,away_team,home_team_av_points,away_team_av_points,home_team_av_points_conceded,away_team_av_points_conceded,home_current_pos,away_current_pos,home_last_yr_pos,away_last_yr_pos,home_prev_game_perf,away_prev_game_perf,home_team_form,away_team_form,home_team_home_form,away_team_away_form,home_team_rest_time,away_team_rest_time,h2h_form,match_importance,home_win_percentage,away_win_percentage,result
82,26,2,2012,Verva Warszawa,AZS Czestochowa,20.672515598874494,22.214012747297048,22.589508056486164,24.042190753164498,8,6,5,4,0,1,-0.966781444312269,-0.7766250503667717,-0.59699968,-0.47657472000000023,7,7,0.2,0,31.25,37.5,1
83,26,2,2012,Jastrzebski,Kedzierzyn-Kozle,22.096244122701012,23.765970895523026,22.03130785524832,21.91299117649975,5,2,7,3,0,1,0.04607759376056331,1.269889173507277,0.6807116800000004,1.1691187200000004,7,7,0.2,0,62.5,75.0,0
84,26,2,2012,Kielce,Gdansk,22.30361064277115,21.603338048625602,22.5353224688468,23.86414999796177,8,10,8,10,1,0,-0.4517318750240771,-1.5064587694112777,-0.5518899200000001,-1.4442547200000009,6,7,-0.2,0,31.25,18.75,1
85,2,3,2012,Rzeszow,Jastrzebski,23.16490168766956,22.010328631494147,20.50430461649443,22.625046284198657,3,5,2,7,0,0,1.1478823973984669,-0.5631379249915495,1.7198259200000003,-0.07450367999999996,7,5,-0.4,0,70.58823529411765,58.82352941176471,1
86,3,3,2012,Belchatow,Kielce,24.655703134833768,22.44288851421692,20.615428719308202,22.378257975077442,1,7,1,8,1,1,2.2651154800076396,0.03861449998073835,1.8725964800000006,-0.5271116800000002,7,6,0.2,0,88.23529411764706,35.294117647058826,1
87,3,3,2012,Kedzierzyn-Kozle,Olsztyn,24.012776716418422,19.869010150547464,21.863726274533136,24.171687454125262,2,9,3,10,1,0,1.6159113388058217,-1.9999092060690846,0.9527116800000004,-1.8410035200000006,6,7,-0.4,0,76.47058823529412,17.647058823529413,0
88,3,3,2012,Gdansk,Verva Warszawa,21.632670438900483,21.218012479099595,23.69131999836942,22.55160644518893,10,8,10,5,0,1,-1.6051670155290223,-0.5734251554498153,-1.3738444800000003,-0.6245452800000001,6,6,-0.6000000000000001,0,17.647058823529413,35.294117647058826,1
89,7,3,2012,AZS Czestochowa,Bydgoszcz,22.25121019783764,22.018967081983675,23.9137526025316,20.99010005483783,6,4,4,6,0,1,-0.8213000402934174,0.4756244168402536,-0.8851123200000002,0.16082688000000006,7,7,-0.6000000000000001,0,35.294117647058826,64.70588235294117,1
90,9,3,2012,Rzeszow,AZS Czestochowa,23.531921350135647,22.850968158270113,20.536777026528878,23.58100208202528,3,6,2,4,1,1,1.5183059179187737,-0.25704003223473393,1.9758607360000005,-0.5812597760000002,7,2,0.28,1,72.22222222222221,38.88888888888889,1
91,9,3,2012,Kedzierzyn-Kozle,Kielce,23.51022137313474,22.404310811373538,22.39098101962651,22.952606380061955,3,7,3,8,0,0,0.8927290710446575,-0.36910840001540934,0.36216934400000034,-0.8216893440000002,6,6,0.9200000000000002,1,72.22222222222221,33.33333333333333,1
92,10,3,2012,Belchatow,Verva Warszawa,24.774562507867017,20.641076649946346,20.94234297544656,23.174618489484477,1,8,1,5,1,0,2.212092384006112,-1.0587401243598524,1.8980771840000004,-1.0996362240000002,7,7,0.36000000000000004,1,88.88888888888889,33.33333333333333,1
93,10,3,2012,Rzeszow,AZS Czestochowa,23.67553708010852,22.48077452661609,20.629421621223102,23.714801665620225,3,6,2,4,1,0,1.6146447343350192,-0.6056320257877872,1.9806885888000005,-0.8650078208000003,1,1,0.6240000000000001,1,73.68421052631578,36.84210526315789,1
