,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance
132,8,10,0,21.907084252813025,23.204405415935163,0,-0.6000000000000001,2,44.44444444444444,-0.6000000000000001,13,11,0,22.2847581250139,25.09478157385292,-1.08,-1.6233180160000003,2,23.52941176470588,0
133,11,13,0,21.45344973875883,23.672787923927043,0,-1.4640000000000002,7,33.33333333333333,0.6000000000000001,4,2,1,23.911072048154765,20.627712866259664,1.08,1.7449180160000006,2,76.47058823529412,0
134,9,8,1,23.369739366701474,21.91570354015105,0,0.6000000000000001,2,44.44444444444444,0.6000000000000001,2,1,1,24.472345154875384,20.302450151179688,1.08,1.5313046528000003,2,88.88888888888889,0
135,10,10,0,22.31837436717556,23.173600163320085,0,-0.4,2,41.17647058823529,-0.6000000000000001,6,9,1,22.38190957518171,22.31428058446955,0.5040000000000001,0.9283619840000004,2,58.82352941176471,0
136,6,4,0,22.63066251291993,21.948877676168742,0,-0.4,3,61.111111111111114,-0.4,8,8,0,22.205987304959557,22.03282241780306,0.08000000000000007,-0.5669324799999998,3,50.0,0
137,5,9,1,22.905527660145367,21.784757800908974,0,1.0032,3,61.111111111111114,0.6000000000000001,7,8,1,22.764789843967645,21.87625793424245,0.4640000000000001,-0.05354598399999988,3,52.63157894736842,0
138,4,2,1,24.228857638523813,20.702170293007732,0,1.2640000000000002,5,77.77777777777779,-0.4,10,10,0,21.788032827073785,23.538880130656068,-0.6000000000000001,0.21209599999999995,5,38.88888888888889,0
139,5,9,0,22.574422128116293,22.22780624072718,0,-0.4,2,57.89473684210527,0.6000000000000001,3,3,0,23.663905778529035,21.7772691864199,-0.3360000000000001,1.2858275840000006,6,78.94736842105263,0
140,12,12,0,20.84351827519516,23.340157380799152,0,-0.6000000000000001,7,29.411764705882355,0.2,9,8,0,23.19579149336118,22.332562832120843,-0.4,0.4507998208000001,5,42.10526315789473,0
141,11,13,0,21.362759791007065,24.038230339141638,0,-0.4,5,31.25,0.2,8,10,1,22.592334068917086,23.163524332748132,0.6000000000000001,-0.27888302079999994,5,47.368421052631575,0
142,14,12,0,21.08815597743715,24.41322350175926,0,-1.0889600000000004,6,11.11111111111111,0.6000000000000001,6,8,1,23.011831875174117,21.75100634739396,0.7712000000000001,0.35716321280000013,2,55.00000000000001,0
